operacao,categoria,status,valor,nome
PIX,CONTAS,CONCLUIDA,6299.287893964361,Maria Julia Nogueira
PIX,LAZER,CONCLUIDA,156.73498581018546,Benjamim Borges
TED,LAZER,CONCLUIDA,9213.456453906858,Sr. Vitor Hugo Rodrigues
TED,CONTAS,PENDENTE,6397.722791953415,Luiz Fernando Nunes
TED,MERCADO,CONCLUIDA,4557.408850861102,Dra. Caroline Fernandes
TED,CONTAS,CONCLUIDA,2433.697071487807,Luiz Miguel Almeida
PIX,MERCADO,CONCLUIDA,6602.640264543049,Sr. Mathias da Luz
TED,CONTAS,CONCLUIDA,829.5049831162124,Melina Costa
TED,LAZER,CONCLUIDA,9216.82930171307,Cauã da Conceição
TED,LAZER,CONCLUIDA,8323.792595059958,Sr. Paulo da Mota
DOC,MERCADO,CONCLUIDA,5082.381565065532,Isadora Câmara
DOC,MERCADO,CONCLUIDA,3648.9572179526854,Stella Costela
PIX,CONTAS,CONCLUIDA,8720.60792918416,Josué Santos
DOC,CONTAS,CONCLUIDA,694.6491248782614,Ryan Ferreira
TED,CONTAS,CONCLUIDA,6335.672219723931,Thomas Farias
DOC,CONTAS,CONCLUIDA,2054.893599888494,Isadora Monteiro
TED,CONTAS,PENDENTE,1250.6327792141678,Dr. Caleb Campos
PIX,CONTAS,CONCLUIDA,4813.974258837745,Lorena Cirino
PIX,LAZER,CONCLUIDA,5654.480897257856,Miguel Montenegro
DOC,LAZER,CONCLUIDA,3914.5599994611716,Maysa Souza
DOC,LAZER,CONCLUIDA,8079.7198673616995,Elisa Andrade
PIX,LAZER,CONCLUIDA,8160.674396427605,Zoe Fogaça
DOC,LAZER,CONCLUIDA,3495.8377118283083,Elisa Ribeiro
TED,LAZER,CONCLUIDA,1567.1732238929828,Davi Lucas Guerra
DOC,CONTAS,CONCLUIDA,4062.2999055135733,Aurora da Rosa
TED,LAZER,CONCLUIDA,1620.5713079400496,Arthur da Conceição
PIX,CONTAS,CONCLUIDA,2639.469211145408,Gabriel Cavalcanti
TED,LAZER,CONCLUIDA,3649.82295272647,Lucas Araújo
DOC,LAZER,CONCLUIDA,3180.416698357285,Rodrigo Peixoto
PIX,LAZER,CONCLUIDA,5358.574260199158,Dr. Yuri Peixoto
DOC,MERCADO,CONCLUIDA,2545.627497098685,Pedro Henrique Viana
TED,MERCADO,CONCLUIDA,6132.054361984423,Laura Aragão
PIX,MERCADO,CONCLUIDA,5800.442212123028,Stephany da Mota
PIX,MERCADO,CONCLUIDA,4597.71531190295,Natália Sampaio
PIX,CONTAS,CONCLUIDA,9049.132781248954,Srta. Sofia Costa
PIX,LAZER,CONCLUIDA,9753.71288697402,Ana Sophia Machado
DOC,CONTAS,CONCLUIDA,2110.7095985790406,Natália Garcia
DOC,LAZER,CONCLUIDA,3549.5498455996953,Pietra da Cruz
TED,LAZER,CONCLUIDA,6169.545946297449,Juliana Santos
TED,LAZER,CONCLUIDA,5685.3027254512845,Rael Farias
PIX,LAZER,CONCLUIDA,4946.597269669044,Emilly Cavalcanti
DOC,LAZER,CONCLUIDA,6242.2865835557695,Luana Caldeira
DOC,CONTAS,CONCLUIDA,3527.218975436972,Ana Lívia Gonçalves
TED,CONTAS,CONCLUIDA,9562.187217550934,Maria Clara Ferreira
TED,LAZER,CONCLUIDA,3946.810337262775,Brenda Fernandes
DOC,CONTAS,CONCLUIDA,3194.744498200122,Maria Sophia Sousa
TED,MERCADO,CONCLUIDA,1428.2981850491135,Eduardo Carvalho
PIX,MERCADO,FALHA,5040.937462004137,Davi Lucca Casa Grande
DOC,CONTAS,CONCLUIDA,3167.62704352402,Júlia Correia
PIX,LAZER,PENDENTE,1571.947925661901,Sr. Pedro da Luz
PIX,MERCADO,CONCLUIDA,9695.547106988975,Gabrielly Moreira
PIX,LAZER,CONCLUIDA,3939.772660063073,Noah Sá
PIX,MERCADO,CONCLUIDA,6730.658387275271,João Lucas Santos
TED,MERCADO,CONCLUIDA,7674.175952198308,Mathias Gomes
